10.136.17.2    NL1082
10.136.17.3    NL1083
10.136.17.4    NL1084
10.136.17.5    NL1085
10.136.17.11   N1101
10.136.17.12   N1102
10.136.17.13   N1103
10.136.17.14   N1104
10.136.17.16   N1201
10.136.17.17   N1202
10.136.17.18   N1203
10.136.17.19   N1204
10.136.17.22   NL2082
10.136.17.23   NL2083
10.136.17.24   NL2084
10.136.17.25   NL2085
10.136.17.31   N2101
10.136.17.32   N2102
10.136.17.33   N2103
10.136.17.34   N2104
10.136.17.36   N2201
10.136.17.37   N2202
10.136.17.38   N2203
10.136.17.39   N2204
10.136.17.42   NL3082
10.136.17.43   NL3083
10.136.17.44   NL3084
10.136.17.45   NL3085
10.136.17.51   N3101
10.136.17.52   N3102
10.136.17.53   N3103
10.136.17.54   N3104
10.136.17.56   N3201
10.136.17.57   N3202
10.136.17.58   N3203
10.136.17.59   N3204
10.136.17.62   NL4082
10.136.17.63   NL4083
10.136.17.64   NL4084
10.136.17.65   NL4085
10.136.17.71   N4101
10.136.17.72   N4102
10.136.17.73   N4103
10.136.17.74   N4104
10.136.17.76   N4201
10.136.17.77   N4202
10.136.17.78   N4203
10.136.17.79   N4204
10.136.17.82   NL5082
10.136.17.83   NL5083
10.136.17.84   NL5084
10.136.17.85   NL5085
10.136.17.91   N5101
10.136.17.92   N5102
10.136.17.93   N5103
10.136.17.94   N5104
10.136.17.96   N5201
10.136.17.97   N5202
10.136.17.98   N5203
10.136.17.99   N5204
10.136.17.102  NL6082
10.136.17.103  NL6083
10.136.17.104  NL6084
10.136.17.105  NL6085
10.136.17.111  N6101
10.136.17.112  N6102
10.136.17.113  N6103
10.136.17.114  N6104
10.136.17.116  N6201
10.136.17.117  N6202
10.136.17.118  N6203
10.136.17.119  N6204
